"ACCOUNT","ACCOUNT NAME","ORG"," "," ","BEG. BALANCE","DEBITS","CREDITS","NET CHANGE","END BALANCE"
"PER","JNL","SRC","EFF DATE","REFERENCE"
"* 5","   489","FAA","11/20/24","       ASSET ACQN                  "," ","           56,316.00","                 .00","          417,263.01"
"* 7","   589","FAA","01/17/25","       ASSET ACQN                  "," ","           46,294.00","                 .00","          463,557.01"
"* 7","   590","FAM","01/17/25","       ASSET MAINT                 "," ","            2,996.00","                 .00","          466,553.01"
"* 8","   159","FAR","02/04/25","       ASSET DISP                  "," ","                 .00","           97,621.00","          368,932.01"
"* 8","   696","FAA","02/24/25","       ASSET ACQN                  "," ","           43,963.00","                 .00","          412,895.01"
"* 8","   697","FAA","02/24/25","       ASSET ACQN                  "," ","           43,963.00","                 .00","          456,858.01"
"* 8","   698","FAA","02/24/25","       ASSET ACQN                  "," ","           43,963.00","                 .00","          500,821.01"
"* 8","   699","FAM","02/24/25","       ASSET MAINT                 "," ","            3,849.37","                 .00","          504,670.38"
"* 8","   700","FAM","02/24/25","       ASSET MAINT                 "," ","            3,849.37","                 .00","          508,519.75"
"* 8","   701","FAM","02/24/25","       ASSET MAINT                 "," ","               78.57","                 .00","          508,598.32"
"* 8","   702","FAM","02/24/25","       ASSET MAINT                 "," ","               78.57","                 .00","          508,676.89"
"* 8","   703","FAM","02/24/25","       ASSET MAINT                 "," ","            6,604.20","                 .00","          515,281.09"
"* 8","   704","FAM","02/24/25","       ASSET MAINT                 "," ","            6,604.20","                 .00","          521,885.29"
"* 8","   705","FAM","02/24/25","       ASSET MAINT                 "," ","            6,604.20","                 .00","          528,489.49"
"* 8","   706","FAM","02/24/25","       ASSET MAINT                 "," ","            1,172.85","                 .00","          529,662.34"
"* 8","   707","FAM","02/24/25","       ASSET MAINT                 "," ","            1,172.85","                 .00","          530,835.19"
"* 8","   708","FAM","02/24/25","       ASSET MAINT                 "," ","            1,172.85","                 .00","          532,008.04"
"* 8","   709","FAM","02/24/25","       ASSET MAINT                 "," ","              346.28","                 .00","          532,354.32"
"* 8","   710","FAM","02/24/25","       ASSET MAINT                 "," ","              346.28","                 .00","          532,700.60"
"* 8","   711","FAM","02/24/25","       ASSET MAINT                 "," ","              346.28","                 .00","          533,046.88"
"* 8","   712","FAM","02/24/25","       ASSET MAINT                 "," ","            3,786.39","                 .00","          536,833.27"
"* 8","   718","FAR","02/13/25","       ASSET DISP                  "," ","                 .00","           38,788.80","          498,044.47"
"* 9","   470","FAM","03/17/25","       ASSET MAINT                 "," ","              516.00","                 .00","          498,560.47"
"*10","   705","FAM","04/30/25","       ASSET MAINT                 "," ","           23,990.00","                 .00","          522,550.47"
"*10","   707","FAA","04/15/25","       ASSET ACQN                  "," ","           33,390.00","                 .00","          555,940.47"
"*10","   709","FAA","04/14/25","       ASSET ACQN                  "," ","           45,700.00","                 .00","          601,640.47"
"*10","   710","FAA","04/04/25","       ASSET ACQN                  "," ","           19,758.20","                 .00","          621,398.67"
"*10","   711","FAA","04/14/25","       ASSET ACQN                  "," ","           10,786.91","                 .00","          632,185.58"
"*10","   713","FAA","04/03/25","       ASSET ACQN                  "," ","           28,089.00","                 .00","          660,274.58"
"*11","   540","FAM","05/28/25","       ASSET MAINT                 "," ","           16,651.85","                 .00","          676,926.43"
"*12","   654","FAM","06/24/25","       ASSET MAINT                 "," ","              405.00","                 .00","          677,331.43"
"*12","   672","FAM","06/18/25","       ASSET MAINT                 "," ","              500.00","                 .00","          677,831.43"
"*12","   673","FAM","06/18/25","       ASSET MAINT                 "," ","              500.00","                 .00","          678,331.43"
"*12","   674","FAM","06/18/25","       ASSET MAINT                 "," ","              500.00","                 .00","          678,831.43"
